sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
1,Safe,4951,73.39,16.51,66.57,Safe
2,Semi Critical,711,10.54,2.82,11.40,Safe
3,Critical,206,3.05,0.88,3.55,Safe
4,Over-Exploited,751,11.13,4.20,16.93,Safe
5,Saline,127,1.88,0.38,1.55,Safe
S. No.,Ground Water Resources Assessment,2004,2009,2011,2013,Over Exploited
2,Safe,4078,71.3,4277,73.2,Semi Critical
3,Semi-critical,550,9.6,523,9,Safe
4,Critical,226,3.9,169,2.9,Safe
5,Over-Exploited,839,14.7,802,13.7,Safe
6,Saline,30,0.5,71,1.2,Safe
1,Alluvium,AL01,(Clay/Silt/Sand/ Calcareous,Quaternary,10,Safe
3,Alluvium,AL03,(Silt/Sand/Gravel/Lithomargic,Quaternary,6,Safe
4,Alluvium,AL04,Aeolian Alluvium (Silt/ Sand),Quaternary,16,Safe
6,Alluvium,AL06,Valley Fills,Quaternary,16,Safe
7,Alluvium,AL07,Glacial Deposits,Quaternary,16,Safe
13,Sandstone,ST01,Sandstone/Conglomerate,Palaeozoic,3,Safe
14,Sandstone,ST02,Sandstone with Shale,Palaeozoic,3,Safe
16,Sandstone,ST04,Sandstone with Clay,Palaeozoic,3,Safe
18,Sandstone,ST06,Sandstone with Shale,3,1,Safe
19,Shale,SH01,"Shale with limestone 
Palaeozoic",1.5,1,Safe
20,Shale,SH02,"Shale with Sandstone 
Palaeozoic",1.5,1,Safe
21,Shale,SH03,Palaeozoic,1.5,1,Safe
22,Shale,SH04,"Shale 
Palaeozoic",1.5,1,Safe
23,Shale,SH05,Shale/Shale with Sandstone,1.5,1,Safe
24,Shale,SH06,Shale with Limestone,1.5,1,Safe
25,Limestone,LS01,"Miliolitic Limestone 
Quarternary",2,1,Safe
26,Limestone,LS01,"KarstifiedMiliolitic Limestone 
Quarternary",10,5,Safe
27,Limestone,LS02,"Limestone / Dolomite 
Palaeozoic",2,1,Safe
28,Limestone,LS02,Palaeozoic,10,5,Safe
29,Limestone,LS03,"Limestone/Dolomite 
Proterozoic",2,1,Safe
30,Limestone,LS03,Karstified Limestone/Dolomite  Proterozoic,10,5,Safe
31,Limestone,LS04,"Limestone with Shale 
Proterozoic",2,1,Safe
32,Limestone,LS04,Proterozoic,10,5,Safe
33,Limestone,LS05,Marble,2,1,Safe
34,Limestone,LS05,Karstified Marble,10,5,Safe
35,Granite,GR01,"(Granite,Syenite, Rhyolite",1.5,1,Safe
1,Alluvium,AL01,(Clay/Silt/Sand/ Calcareous,Quaternary,22,Safe
3,Alluvium,AL03,(Silt/Sand/Gravel/Lithomargic,Quaternary,22,Safe
4,Alluvium,AL04,Aeolian Alluvium (Silt/ Sand),Quaternary,22,Safe
6,Alluvium,AL06,Valley Fills,Quaternary,22,Safe
7,Alluvium,AL07,Glacial Deposits,Quaternary,22,Safe
13,Sandstone,ST01,Sandstone/Conglomerate,Palaeozoic,12,Safe
14,Sandstone,ST02,Sandstone with Shale,Palaeozoic,12,Safe
1,Alluvium,AL01,(Clay/Silt/Sand/ Calcareous,Quaternary,22,Safe
3,Alluvium,AL03,(Silt/Sand/Gravel/Lithomargic,Quaternary,22,Safe
4,Alluvium,AL04,Aeolian Alluvium (Silt/ Sand),Quaternary,22,Safe
6,Alluvium,AL06,Valley Fills,Quaternary,22,Safe
7,Alluvium,AL07,Glacial Deposits,Quaternary,22,Safe
13,Sandstone,ST01,Sandstone/Conglomerate,Palaeozoic,12,Safe
14,Sandstone,ST02,Sandstone with Shale,Palaeozoic,12,Safe
16,Sandstone,ST04,Sandstone with Clay,Palaeozoic,12,Safe
19,Shale,SH01,Shale with limestone,Palaeozoic,4,Safe
20,Shale,SH02,Shale with Sandstone,Palaeozoic,4,Safe
22,Shale,SH04,Shale,Palaeozoic,4,Safe
25,Limestone,LS01,Miliolitic Limestone,Quarternary,6,Safe
27,Limestone,LS02,Limestone / Dolomite,Palaeozoic,6,Safe
29,Limestone,LS03,Limestone/Dolomite,Proterozoic,6,Safe
31,Limestone,LS04,Limestone with Shale,Proterozoic,6,Safe
2,ASSAM,0.5,26,88.7,108.5,Over Exploited
3,MEGHALAYA,0.1,7.4,133,81.1,Semi Critical
4,NAGALAND,0.3,2.1,45,62.2,Safe
5,MANIPUR,0,0.8,36.1,37.6,Safe
6,MIZORAM,0,0,56.8,109.4,Over Exploited
7,TRIPURA,0,0,72.5,94.3,Critical
8,SIKKIM,0.7,99,196,200.9,Over Exploited
9,WEST BENGAL,0.1,1.7,62.7,41.1,Safe
10,JHARKHAND,0,0,34.5,26.2,Safe
11,BIHAR,0.2,0,19.7,14.8,Safe
12,UTTAR PRADESH,8.1,0,24.9,11.9,Safe
13,UTTARAKHAND,30.6,6.6,63.5,64,Safe
14,HARYANA,11.6,0,41.8,14.6,Safe
15,CHANDIGARH (UT),27.7,0,65.7,36.3,Safe
16,DELHI,18.3,0,52.8,11.8,Safe
17,PUNJAB,15.1,0.1,56.6,26,Safe
18,HIMACHALPRADESH,86.8,30,66.7,103.5,Over Exploited
20,LADAKH(UT),9.9,12,1.1,10.6,Safe
21,RAJASTHAN,13,0,18.6,14.5,Safe
22,ODISHA,0.1,0,58.9,63.4,Safe
23,MADHYAPRADESH,5.5,0,22.1,23.1,Safe
24,GUJARAT,1.6,0,13.9,6.4,Safe
25,NAGARHAVELI and,0,0,0.9,1,Safe
26,GOA,0,0,0.9,0,Safe
27,MAHARASHTRA,0.3,0,9.5,30.3,Safe
28,CHHATISGARH,0.1,0,35.3,40.6,Safe
29,A & N ISLAND (UT),27.4,24,11.2,15.7,Safe
30,ANDHRAPRADESH,0.9,0,49.7,28.7,Safe
31,TELANGANA,0.4,0,42.9,48,Safe
32,TAMILNADU,5.1,16,34.3,45.5,Safe
33,PUDUCHERRY (UT),6.2,42,26.2,51.3,Safe
34,KARNATAKA,0.7,0,8.6,30.3,Safe
35,KERALA,12.8,2.4,31.6,76.5,Semi Critical
36,LAKSHADWEEP (UT),33.4,1,3.4,16,Safe
1,2,3,4,5,6,Safe
1,Andhra Pradesh,9.00,10.79,0.82,7.18,Safe
